Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;4151 - Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional-posição em carteira - Total emitido - u.m.c. (milhões)
02/2013;0,60 ;2.759.476,95
03/2013;0,47 ;2.771.928,78
04/2013;0,55 ;2.778.446,22
05/2013;0,37 ;2.763.430,05
06/2013;0,26 ;2.814.320,44
07/2013;0,03 ;2.779.020,44
08/2013;0,24 ;2.810.927,72
09/2013;0,35 ;2.827.905,83
10/2013;0,57 ;2.871.935,06
11/2013;0,54 ;2.922.448,47
12/2013;0,92 ;2.986.224,21
01/2014;0,55 ;2.907.992,38
02/2014;0,69 ;2.944.628,59
03/2014;0,92 ;2.968.764,61
04/2014;0,67 ;2.946.054,33
05/2014;0,46 ;3.021.664,01
06/2014;0,40 ;3.111.712,08
07/2014;0,01 ;3.052.874,18
08/2014;0,25 ;3.067.126,60
09/2014;0,57 ;3.071.158,80
10/2014;0,42 ;3.052.957,39
11/2014;0,51 ;3.136.983,09
12/2014;0,78 ;3.301.051,28
01/2015;1,24 ;3.204.001,86
02/2015;1,22 ;3.298.151,23
03/2015;1,32 ;3.441.395,66
04/2015;0,71 ;3.451.710,08
05/2015;0,74 ;3.484.067,65
06/2015;0,79 ;3.585.829,91
07/2015;0,62 ;3.586.722,02
08/2015;0,22 ;3.691.613,29
09/2015;0,54 ;3.802.662,72
10/2015;0,82 ;3.712.378,65
11/2015;1,01 ;3.794.401,22
12/2015;0,96 ;3.936.680,80
01/2016;1,27 ;3.873.237,11
02/2016;0,90 ;3.952.682,57
03/2016;0,43 ;4.042.856,31
04/2016;0,61 ;3.967.753,97
05/2016;0,78 ;4.048.689,70
06/2016;0,35 ;4.157.399,73
07/2016;0,52 ;4.151.057,69
08/2016;0,44 ;4.129.135,39
09/2016;0,08 ;4.258.862,67
10/2016;0,26 ;4.255.200,29
11/2016;0,18 ;4.312.217,84
12/2016;0,30 ;4.509.262,41
01/2017;0,38 ;4.510.876,06
02/2017;0,33 ;4.616.502,39
03/2017;0,25 ;4.726.683,39
04/2017;0,14 ;4.749.125,10
05/2017;0,31 ;4.728.247,39
06/2017;-0,23 ;4.835.375,81
07/2017;0,24 ;4.791.611,27
08/2017;0,19 ;4.918.862,26
09/2017;0,16 ;4.962.417,98
10/2017;0,42 ;4.950.443,95
11/2017;0,28 ;5.017.785,51
12/2017;0,44 ;5.094.970,67
01/2018;0,29 ;5.075.780,97
02/2018;0,32 ;5.130.850,09
03/2018;0,09 ;5.230.541,85
04/2018;0,22 ;5.264.756,68
05/2018;0,40 ;5.327.222,22
06/2018;1,26 ;5.376.889,79
07/2018;0,33 ;5.361.650,26
08/2018;-0,09 ;5.375.840,88
09/2018;0,48 ;5.410.342,15
10/2018;0,45 ;5.385.115,16
11/2018;-0,21 ;5.452.979,39
12/2018;0,15 ;5.523.152,99
01/2019;0,32 ;5.465.306,09
02/2019;0,43 ;5.552.963,80
03/2019;0,75 ;5.583.309,44
04/2019;0,57 ;5.567.689,41
05/2019;0,13 ;5.550.477,47
06/2019;0,01 ;5.653.213,26
07/2019;0,19 ;5.635.436,48
08/2019;0,11 ;5.721.893,74
09/2019;-0,04 ;5.812.839,73
10/2019;0,10 ;5.773.661,47
11/2019;0,51 ;5.887.136,09
12/2019;1,15 ;5.971.964,07
01/2020;0,21 ;5.948.372,87
02/2020;0,25 ;6.001.565,74
03/2020;0,07 ;5.863.787,07
04/2020;-0,31 ;5.864.573,46
05/2020;-0,38 ;5.955.202,98
06/2020;0,26 ;6.082.289,02
07/2020;0,36 ;5.996.014,82
08/2020;0,24 ;6.041.006,83
09/2020;0,64 ;6.150.672,46
10/2020;0,86 ;6.293.106,91
11/2020;0,89 ;6.464.359,86
12/2020;1,35 ;6.691.968,61
01/2021;0,25 ;6.709.482,27
02/2021;0,86 ;6.871.724,61
03/2021;0,93 ;6.923.713,31
04/2021;0,31 ;6.814.016,58
05/2021;0,83 ;6.907.904,41
06/2021;0,53 ;7.083.888,15
07/2021;0,96 ;7.117.953,97
08/2021;0,87 ;7.207.457,09
09/2021;1,16 ;7.161.594,88
10/2021;1,25 ;7.102.420,63
11/2021;0,95 ;7.238.988,95
12/2021;0,73 ;7.378.360,95
01/2022;0,54 ;7.389.427,40
02/2022;1,01 ;7.520.603,00
03/2022;1,62 ;7.392.957,73
04/2022;1,06 ;7.433.864,68
05/2022;0,47 ;7.561.803,71
06/2022;0,67 ;7.700.157,87
07/2022;-0,68 ;7.657.577,81
08/2022;-0,36 ;7.627.153,52
09/2022;-0,29 ;7.540.273,57
10/2022;0,59 ;7.600.260,99
11/2022;0,41 ;7.742.549,32
12/2022;0,62 ;7.854.469,93
01/2023;0,53 ;7.690.510,83
02/2023;0,84 ;7.799.248,70
03/2023;0,71 ;7.864.403,53
04/2023;0,61 ;8.015.754,97
05/2023;0,23 ;8.002.421,14
06/2023;-0,08 ;8.210.381,37
07/2023;0,12 ;8.161.591,61
08/2023;0,23 ;8.284.239,27
09/2023;0,26 ;8.105.661,68
10/2023;0,24 ;8.200.826,36
11/2023;0,28 ;8.371.327,41
12/2023;0,56 ;8.587.474,04
01/2024;0,42 ;8.540.152,23
02/2024;0,83 ;8.690.959,46
03/2024;0,16 ;8.760.736,82
04/2024;0,38 ;8.839.245,53
05/2024;0,46 ;9.052.716,42
06/2024;0,21 ;9.201.637,47
07/2024;0,38 ;9.286.856,06
08/2024;-0,02 ;9.163.319,16
09/2024;0,44 ;9.101.596,73
10/2024;0,56 ;9.227.590,84
11/2024;0,39 ;9.353.150,33
12/2024;0,52 ;-
Fonte;IBGE;BCB-DSTAT
