Data;22701 - Transações correntes - mensal - saldo - US$ (milhões)
10/2016;-3.657,9
11/2016;-878,5
12/2016;-4.995,6
01/2017;-6.993,4
02/2017;-539,1
03/2017;-124,3
04/2017;-1.055,4
05/2017;1.479,2
06/2017;-559,1
07/2017;-4.403,2
08/2017;-1.305,2
09/2017;-1.672,9
10/2017;-2.609,7
11/2017;-3.923,9
12/2017;-3.556,5
01/2018;-7.812,0
02/2018;-5.959,7
03/2018;-3.270,0
04/2018;-2.683,1
05/2018;-1.777,4
06/2018;-2.478,9
07/2018;-8.483,0
08/2018;-4.821,4
09/2018;-2.379,3
10/2018;-3.105,8
11/2018;-4.044,7
12/2018;-7.003,0
01/2019;-9.368,0
02/2019;-2.843,2
03/2019;-3.660,2
04/2019;-2.950,5
05/2019;-3.319,3
06/2019;-2.628,3
07/2019;-11.513,6
08/2019;-6.252,8
09/2019;-3.791,3
10/2019;-9.179,1
11/2019;-4.184,1
12/2019;-5.310,9
01/2020;-10.776,9
02/2020;-4.962,3
03/2020;-3.418,5
04/2020;2.151,6
05/2020;425,0
06/2020;3.042,5
07/2020;-412,7
08/2020;1.154,7
09/2020;-17,6
10/2020;-1.196,2
11/2020;-2.483,8
12/2020;-8.419,5
01/2021;-8.247,4
02/2021;-4.031,0
03/2021;-8.199,6
04/2021;3.981,2
05/2021;2.752,1
06/2021;2.363,8
07/2021;-3.094,3
08/2021;-1.733,4
09/2021;-3.234,0
10/2021;-5.762,1
11/2021;-7.935,7
12/2021;-7.268,7
01/2022;-6.838,3
02/2022;-1.392,9
03/2022;-1.720,0
04/2022;1.773,7
05/2022;-3.367,8
06/2022;958,7
07/2022;-5.172,4
08/2022;-6.473,2
09/2022;-6.628,1
10/2022;-4.649,1
11/2022;-460,2
12/2022;-6.914,6
01/2023;-7.637,3
02/2023;-4.282,0
03/2023;-1.521,1
04/2023;-1.028,9
05/2023;472,7
06/2023;-1.143,8
07/2023;-2.967,9
08/2023;-350,0
09/2023;-919,7
10/2023;451,5
11/2023;-2,7
12/2023;-5.587,1
01/2024;-4.030,5
02/2024;-3.572,5
03/2024;-3.778,6
04/2024;-1.340,7
05/2024;-2.122,1
06/2024;-4.128,5
07/2024;-5.007,2
08/2024;-6.917,1
09/2024;-6.845,9
10/2024;-6.027,2
11/2024;-3.059,9
Fonte;BCB-DSTAT
