Date,True Cotacao,Predicted Cotacao,Lower Bound,Upper Bound
2002-1,2.413,2.429646092007273,2.42156005559497,2.437732128419576
2002-2,2.365,2.4716240466401276,2.463681629811367,2.4795664634688883
2002-4,2.361,2.3005153430253493,2.2930529011900327,2.307977784860666
2002-5,2.518,2.371723835657849,2.24662974205692,2.496817929258778
2002-6,2.8175,2.5276833283246543,2.5181849571106016,2.537181699538707
2002-7,3.46,2.749276999705699,2.6107594579987565,2.887794541412642
2002-8,3.0075,4.0406799499548125,4.022688944046303,4.058670955863322
2002-9,3.76,2.828686310662729,2.3328527346721506,3.3245198866533077
2002-10,3.65,3.977818879634979,3.708880633170135,4.246757126099823
2003-1,3.504,2.739603203447003,2.5477874423106037,2.9314189645834023
2003-2,3.57,3.2283905646204856,2.9560913095453993,3.500689819695572
2003-4,2.911,3.308855513115646,3.0136056389232806,3.604105387308011
2003-9,2.8925,3.1837102311599987,2.999909046000315,3.3675114163196826
2008-7,1.567,2.2453922196363036,1.9620647315630975,2.52871970770951
2008-9,1.9066,1.5337949292364523,1.1827813286937592,1.8848085297791455
2008-10,2.1642,1.756728728434327,1.4280470130179905,2.0854104438506633
2011-9,1.879,1.5642079193267722,1.254163383371983,1.8742524552815614
2015-3,3.1947,2.7374439240726867,2.430902588396638,3.043985259748735
2015-9,3.9478,3.588536001044949,3.2708500584447706,3.9062219436451273
2016-3,3.5925,4.020353708208669,3.690869755368824,4.349837661048514
2016-6,3.2126,3.5893669280011338,3.245060759038709,3.9336730969635587
2018-10,3.7218,4.0702166427382585,3.7268101295077503,4.413623155968766
2020-3,5.2046,4.438939963251938,4.086485918063448,4.791394008440428
2020-4,5.4858,5.010686218647782,4.643894416570596,5.377478020724968
2020-11,5.3319,5.841324157705591,5.470438883370803,6.212209432040379
2020-12,5.1937,5.59413394333888,5.220197182461643,5.968070704216117
2021-5,5.2172,5.638610833511123,5.252084853984818,6.025136813037428
2021-6,4.9686,5.487104914196179,5.089094100107372,5.885115728284985
2022-1,5.3041,5.728184812105836,5.339582214360692,6.116787409850979
2022-2,5.1599,5.57430152506619,5.1715301480166485,5.977072902115731
2022-3,4.739,5.364881321849058,4.972312709092624,5.757449934605492
2022-6,5.2562,4.681283015754829,4.302313854424023,5.060252177085635
