Date,True Cotacao,Predicted Cotacao,Lower Bound,Upper Bound
2003-1,3.504,3.192736410041905,2.9509940782397877,3.434478741844022
2003-2,3.57,3.2711296758497936,3.023178709858796,3.5190806418407914
2003-4,2.911,3.231172944084255,2.9761343279550725,3.486211560213438
2003-7,2.9675,2.676586949955181,2.4193393716303206,2.9338345282800415
2003-12,2.8915,3.2155220641950675,2.9517006390203395,3.4793434893697954
2004-1,2.9345,3.246889211268975,2.974242720570148,3.5195357019678024
2004-2,2.906,3.2584572332327433,2.9784092006481897,3.538505265817297
2004-3,2.896,3.2368036335620776,2.9508442705461966,3.5227629965779585
2015-3,3.1947,2.734968745212198,2.506951882513869,2.962985607910527
2015-7,3.4204,3.080984998290986,2.8453388046993773,3.3166311918825944
2015-8,3.6187,3.3330928386478824,3.094104399210599,3.572081278085166
2015-9,3.9478,3.6417235801960595,3.401119737057211,3.882327423334908
2016-3,3.5925,4.044391032818696,3.8036562226968713,4.285125842940522
2016-5,3.6105,3.323053672307472,3.0756151161684433,3.570492228446501
2016-6,3.2126,3.5147402860434083,3.2646681283482115,3.764812443738605
2018-5,3.7225,3.473393494064913,3.22494143374107,3.7218455543887563
2018-10,3.7218,4.10836721864786,3.8578559809625967,4.358878456333123
2019-8,4.1445,3.816725014150967,3.562762392384894,4.07068763591704
2020-3,5.2046,4.503303045213034,4.244632065857342,4.761974024568726
2020-4,5.4858,5.180900693813337,4.911156479227909,5.450644908398765
2020-5,5.3361,5.627584074976241,5.357756286149589,5.897411863802893
2020-7,5.224,5.591175165373375,5.3211000950534,5.86125023569335
2020-11,5.3319,5.875883070985707,5.603412818458546,6.148353323512868
2020-12,5.1937,5.483015066936814,5.2040164800386925,5.762013653834936
2021-5,5.2172,5.548425120555122,5.266474542694686,5.830375698415558
2021-6,4.9686,5.358140895127293,5.074422563949608,5.641859226304978
2022-1,5.3041,5.693179088566877,5.406440877741949,5.979917299391805
2022-2,5.1599,5.456083180201016,5.1666691469993715,5.745497213402661
2022-3,4.739,5.233165492628631,4.942378632359469,5.523952352897792
2022-6,5.2562,4.782934107987439,4.487048652891233,5.078819563083644
2022-10,5.1791,5.499575925242864,5.200677396086544,5.798474454399184
2024-10,5.7867,5.459722009838441,5.160389291467489,5.759054728209394
