Date,Actual Cotacao,Predicted Cotacao,Lower Bound,Upper Bound
2003-1,3.504,3.192736410041905,2.917826630731629,3.467646189352181
2003-2,3.57,3.2711296758497936,2.977809085839506,3.5644502658600814
2003-4,2.911,3.231172944084255,2.9120960205763398,3.5502498675921705
2004-2,2.906,3.2584572332327433,2.911156754864798,3.6057577116006887
2009-5,1.9715,2.2027099595473025,1.9925205847171021,2.412899334377503
2015-3,3.1947,2.734968745212198,2.496866733178856,2.97307075724554
2015-7,3.4204,3.080984998290986,2.823736972404365,3.338233024177607
2015-8,3.6187,3.3330928386478824,3.052624571847294,3.6135611054484706
2015-9,3.9478,3.6417235801960595,3.3739556194758253,3.9094915409162936
2016-3,3.5925,4.044391032818696,3.7584571958334747,4.330324869803918
2016-5,3.6105,3.323053672307472,3.038839274543433,3.607268070071511
2016-6,3.2126,3.5147402860434083,3.224680830009834,3.8047997420769826
2018-10,3.7218,4.10836721864786,3.8306526870347826,4.386081750260938
2019-8,4.1445,3.816725014150967,3.5272499083967355,4.106200119905198
2020-3,5.2046,4.503303045213034,4.202434208222008,4.80417188220406
2020-4,5.4858,5.180900693813337,4.881616801686312,5.4801845859403615
2020-7,5.224,5.591175165373375,5.297474310151194,5.884876020595557
2020-11,5.3319,5.875883070985707,5.581700659522562,6.170065482448853
2021-5,5.2172,5.548425120555122,5.258536988426378,5.838313252683866
2021-6,4.9686,5.358140895127293,5.06936569989,5.646916090364586
2022-1,5.3041,5.693179088566877,5.399563123339488,5.986795053794267
2022-2,5.1599,5.456083180201016,5.165998483830483,5.746167876571549
2022-3,4.739,5.233165492628631,4.936018478398712,5.530312506858549
2022-6,5.2562,4.782934107987439,4.480151247102052,5.085716968872825
2022-10,5.1791,5.499575925242864,5.192887792539911,5.806264057945817
2024-10,5.7867,5.459722009838441,5.15230272341157,5.767141296265312
