Date,True Cotacao,Predicted Cotacao,Lower Bound,Upper Bound
2002-1,2.413,2.3385332480436114,2.2887904627388314,2.3882760333483914
2002-2,2.365,2.5144474168302944,2.4587425321094147,2.570152301551174
2002-3,2.325,2.3990776680723496,2.3281788331678595,2.4699765029768397
2002-5,2.518,2.3307609127468933,2.2565627868478626,2.404959038645924
2002-6,2.8175,2.4968688384765896,2.415741170865576,2.577996506087603
2002-7,3.46,2.783539037727294,2.7022775792490865,2.8648004962055014
2002-8,3.0075,3.7652238958476936,3.64252937446366,3.887918417231727
2002-9,3.76,3.0913833028766535,2.910494606268042,3.272271999485265
2003-1,3.504,3.192736410041905,3.011429661190317,3.374043158893493
2003-2,3.57,3.2711296758497936,3.085166451356545,3.457092900343042
2003-3,3.364,3.1627822240910657,2.9740133723981947,3.3515510757839366
2003-4,2.911,3.231172944084255,3.039893981987368,3.4224519061811423
2003-7,2.9675,2.676586949955181,2.483651266211536,2.869522633698826
2003-10,2.8665,3.112086185829618,2.915127137905577,3.309045233753659
2003-12,2.8915,3.2155220641950675,3.0176559953140214,3.4133881330761136
2004-1,2.9345,3.246889211268975,3.0424043432448546,3.4513740792930956
2004-2,2.906,3.2584572332327433,3.048421208794328,3.4684932576711587
2004-3,2.896,3.2368036335620776,3.0223341113001667,3.4512731558239884
2004-7,3.0375,3.260174039177431,3.0451336676083867,3.4752144107464757
2004-8,2.927,3.1880203722195057,2.972352796030285,3.4036879484087263
2006-5,2.3051,2.0702579521132987,1.8668806025400984,2.273635301686499
2008-9,1.9066,1.6871122551579343,1.502673927361421,1.8715505829544477
2008-12,2.3145,2.4992982900469607,2.315760195315918,2.6828363847780032
2009-5,1.9715,2.2027099595473025,2.021217806131826,2.3842021129627793
2010-1,1.885,1.6989422652158952,1.521203173650768,1.8766813567810223
2010-9,1.6876,1.864916507884258,1.6889473804715731,2.040885635296943
2011-3,1.632,1.8426279623787507,1.6668109734034133,2.018444951354088
2011-4,1.5775,1.7920963810172905,1.6153341897397442,1.9688585722948369
2011-9,1.879,1.65294891344911,1.4764236208080046,1.8294742060902154
2012-1,1.7472,1.9512448724440161,1.7733843715411974,2.129105373346835
2014-9,2.4449,2.222249137268758,2.052109534709991,2.3923887398275245
2015-2,2.838,2.6326314728025095,2.4623414455067616,2.8029215000982575
2015-3,3.1947,2.734968745212198,2.5639560981884513,2.9059813922359448
2015-7,3.4204,3.080984998290986,2.904250353097279,3.2577196434846925
2015-8,3.6187,3.3330928386478824,3.15385150906992,3.512334168225845
2015-9,3.9478,3.6417235801960595,3.461270697841923,3.8221764625501957
2016-3,3.5925,4.044391032818696,3.8638399252273277,4.224942140410065
2016-4,3.4352,3.622021527146237,3.436538198785383,3.807504855507091
2016-5,3.6105,3.323053672307472,3.1374747552032005,3.508632589411744
2016-6,3.2126,3.5147402860434083,3.3271861677720107,3.702294404314806
2016-11,3.3827,3.154669952372569,2.9663498872366105,3.3429900175085274
2018-4,3.5066,3.2833377603632643,3.0977300645077177,3.468945456218811
2018-5,3.7225,3.473393494064913,3.2870544488220306,3.6597325393077957
2018-8,4.0545,3.8286938536679482,3.6412534826594602,4.016134224676437
2018-10,3.7218,4.10836721864786,3.9204837903839125,4.296250646911807
2019-1,3.6439,3.872767240965897,3.6822790078855103,4.063255474046284
2019-3,3.9238,3.7010905447016897,3.5099494138791787,3.892231675524201
2019-8,4.1445,3.816725014150967,3.6262530478264123,4.007196980475522
2019-12,4.019,4.22211589249731,4.0296332390679535,4.414598545926667
2020-1,4.282,4.0600972949548995,3.8671053156546122,4.253089274255187
2020-2,4.4733,4.250407102579863,4.0567230987744844,4.444091106385241
2020-3,5.2046,4.503303045213034,4.309299810696265,4.697306279729803
2020-4,5.4858,5.180900693813337,4.9785925328742655,5.383208854752408
2020-5,5.3361,5.627584074976241,5.425213233356252,5.82995491659623
2020-7,5.224,5.591175165373375,5.388618862633393,5.793731468113357
2020-8,5.4914,5.258006615357071,5.053506608226466,5.462506622487676
2020-11,5.3319,5.875883070985707,5.671530381590336,6.080235760381078
2020-12,5.1937,5.483015066936814,5.273766126763222,5.692264007110406
2021-1,5.4625,5.20511975308137,4.995060017544813,5.415179488617928
2021-4,5.4366,5.70865423451842,5.497958963967282,5.919349505069558
2021-5,5.2172,5.548425120555122,5.336962187159796,5.759888053950449
2021-6,4.9686,5.358140895127293,5.145352146744029,5.570929643510556
2021-12,5.5703,5.788918958325684,5.574310342854703,6.003527573796665
2022-1,5.3041,5.693179088566877,5.4781254304481815,5.908232746685573
2022-2,5.1599,5.456083180201016,5.239022655299783,5.67314370510225
2022-3,4.739,5.233165492628631,5.01507534742676,5.451255637830502
2022-6,5.2562,4.782934107987439,4.561020016665285,5.004848199309592
2022-10,5.1791,5.499575925242864,5.275402028375624,5.723749822110103
2023-1,5.0731,5.319002205017567,5.094174323409956,5.543830086625177
2023-6,4.786,5.0541607084668385,4.829752510216771,5.278568906716906
2023-8,4.9544,4.681163089062377,4.456175032869585,4.906151145255168
2024-6,5.5925,5.305715920917718,5.082070100098212,5.529361741737224
2024-9,5.4482,5.675799251154483,5.451689787252778,5.8999087150561875
2024-10,5.7867,5.459722009838441,5.235222471060227,5.684221548616656
