Date,True Cotacao,Predicted Cotacao,Lower Bound,Upper Bound
2002-1,2.413,2.429646092007273,2.4231772628774304,2.4361149211371154
2002-2,2.365,2.4716240466401276,2.465270113177119,2.477977980103136
2002-4,2.361,2.3005153430253493,2.2945453895570957,2.306485296493603
2002-5,2.518,2.371723835657849,2.2716485607771055,2.4717991105385924
2002-6,2.8175,2.5276833283246543,2.520084631353412,2.5352820252958965
2002-7,3.46,2.749276999705699,2.638462966340145,2.8600910330712535
2002-8,3.0075,4.0406799499548125,4.026287145228005,4.05507275468162
2002-9,3.76,2.828686310662729,2.4320194498702663,3.225353171455192
2002-10,3.65,3.977818879634979,3.762668282463104,4.192969476806854
2003-1,3.504,2.739603203447003,2.5861505945378838,2.8930558123561223
2003-2,3.57,3.2283905646204856,3.010551160560417,3.446229968680554
2003-4,2.911,3.308855513115646,3.0726556137617536,3.545055412469538
2003-9,2.8925,3.1837102311599987,3.0366692830322517,3.3307511792877458
2008-7,1.567,2.2453922196363036,2.0187302291777387,2.4720542100948686
2008-9,1.9066,1.5337949292364523,1.2529840488022979,1.8146058096706068
2008-10,2.1642,1.756728728434327,1.493783356101258,2.019674100767396
2008-11,2.3034,2.0155776598703,1.7293595062706988,2.3017958134699015
2011-9,1.879,1.5642079193267722,1.316172290562941,1.8122435480906034
2015-3,3.1947,2.7374439240726867,2.4922108555318476,2.9826769926135257
2015-7,3.4204,3.1420039910059794,2.885888798838692,3.3981191831732667
2015-8,3.6187,3.3038896173702037,3.050207588588923,3.5575716461514846
2015-9,3.9478,3.588536001044949,3.3343872469648064,3.8426847551250916
2016-3,3.5925,4.020353708208669,3.756766545936793,4.283940870480544
2016-4,3.4352,3.765440634648666,3.496895521215711,4.033985748081621
2016-6,3.2126,3.5893669280011338,3.313921992831194,3.8648118631710737
2018-5,3.7225,3.4430973844131483,3.17227665836806,3.7139181104582364
2018-10,3.7218,4.0702166427382585,3.795491432153852,4.3449418533226645
2019-8,4.1445,3.8736324345492896,3.603083932252273,4.144180936846306
2020-3,5.2046,4.438939963251938,4.156976727101147,4.72090319940273
2020-4,5.4858,5.010686218647782,4.717252776986033,5.3041196603095315
2020-7,5.224,5.556831654093194,5.264929760459412,5.848733547726975
2020-11,5.3319,5.841324157705591,5.544615938237761,6.138032377173421
2020-12,5.1937,5.59413394333888,5.2949845346370905,5.89328335204067
2021-5,5.2172,5.638610833511123,5.329390049890079,5.9478316171321675
2021-6,4.9686,5.487104914196179,5.168696262925133,5.8055135654672245
2022-1,5.3041,5.728184812105836,5.41730273390972,6.039066890301951
2022-2,5.1599,5.57430152506619,5.252084423426557,5.896518626705823
2022-3,4.739,5.364881321849058,5.050826431643911,5.6789362120542055
2022-6,5.2562,4.681283015754829,4.378107686690185,4.9844583448194735
