Date,True Cotacao,Predicted Cotacao,Lower Bound,Upper Bound
2002-1,2.413,2.429646092007273,2.419942848312509,2.439349335702037
2002-2,2.365,2.4716240466401276,2.4620931464456146,2.4811549468346406
2002-4,2.361,2.3005153430253493,2.291560412822969,2.3094702732277295
2002-6,2.8175,2.5276833283246543,2.516285282867791,2.5390813737815177
2002-7,3.46,2.749276999705699,2.5830559496573677,2.9154980497540306
2002-8,3.0075,4.0406799499548125,4.019090742864601,4.062269157045024
2002-9,3.76,2.828686310662729,2.2336860194740344,3.423686601851424
2002-10,3.65,3.977818879634979,3.6550929838771666,4.300544775392792
2003-1,3.504,2.739603203447003,2.509424290083324,2.969782116810682
2003-2,3.57,3.2283905646204856,2.901631458530382,3.555149670710589
2003-4,2.911,3.308855513115646,2.9545556640848076,3.663155362146484
2003-9,2.8925,3.1837102311599987,2.963148808968378,3.4042716533516195
2008-7,1.567,2.2453922196363036,1.9053992339484562,2.585385205324151
2008-10,2.1642,1.756728728434327,1.3623106699347232,2.1511467869339307
2015-3,3.1947,2.7374439240726867,2.3695943212614283,3.105293526883945
2016-3,3.5925,4.020353708208669,3.624972964800855,4.4157344516164825
2020-3,5.2046,4.438939963251938,4.01599510902575,4.861884817478126
2020-4,5.4858,5.010686218647782,4.5705360561551585,5.450836381140406
2020-11,5.3319,5.841324157705591,5.396261828503845,6.286386486907337
2021-6,4.9686,5.487104914196179,5.009491937289611,5.9647178911027465
2022-3,4.739,5.364881321849058,4.893798986541338,5.835963657156778
2022-6,5.2562,4.681283015754829,4.226520022157862,5.136046009351796
